,title,clean_description,cleaner_description,cluster
10,Abu Mena,"The church, baptistry, basilicas, public buildings, streets, monasteries, houses and workshops in this early Christian holy city were built over the tomb of the martyr Menas of Alexandria, who died in A.D. 296. ",church baptistry basilica public street monastery house workshop christian holy tomb martyr menas alexandria died,0
11,"Acropolis, Athens","The Acropolis of Athens and its monuments are universal symbols of the classical spirit and civilization and form the greatest architectural and artistic complex bequeathed by Greek Antiquity to the world. In the second half of the fifth century bc, Athens, following the victory against the Persians and the establishment of democracy, took a leading position amongst the other city-states of the ancient world. In the age that followed, as thought and art flourished, an exceptional group of artists put into effect the ambitious plans of Athenian statesman Pericles and, under the inspired guidance of the sculptor Pheidias, transformed the rocky hill into a unique monument of thought and the arts. The most important monuments were built during that time: the Parthenon, built by Ictinus, the Erechtheon, the Propylaea, the monumental entrance to the Acropolis, designed by Mnesicles and the small temple Athena Nike.  ",acropolis athens monument universal symbol classical spirit civilization form greatest architectural artistic complex bequeathed greek antiquity second half fifth bc athens following victory persian establishment democracy took leading position amongst ancient followed thought art flourished exceptional group artist put effect ambitious plan athenian statesman pericles inspired guidance sculptor pheidias transformed rocky hill unique monument thought art important monument time parthenon ictinus erechtheon propylaea monumental entrance acropolis designed mnesicles small temple athena nike,0
12,Agave Landscape and Ancient Industrial Facilities of Tequila,"The 34,658 ha site, between the foothills of the Tequila Volcano and the deep valley of the Rio Grande River, is part of an expansive landscape of blue agave, shaped by the culture of the plant used since the 16th century to produce tequila spirit and for at least 2,000 years to make fermented drinks and cloth. Within the landscape are working distilleries reflecting the growth in the international consumption of tequila in the 19th and 20th centuries. Today, the agave culture is seen as part of national identity. The area encloses a living, working landscape of blue agave fields and the urban settlements of Tequila, Arenal, and Amatitan with large distilleries where the agave ‘pineapple' is fermented and distilled. The property is also a testimony to the Teuchitlan cultures which shaped the Tequila area from AD 200-900, notably through the creation of terraces for agriculture, housing, temples, ceremonial mounds and ball courts. ",ha foothill tequila volcano deep valley rio grande river part expansive landscape blue agave shaped culture plant used since produce tequila spirit least make fermented drink cloth within landscape working distillery reflecting growth international consumption tequila today agave culture seen part national identity encloses living working landscape blue agave field urban settlement tequila arenal amatitan large distillery agave pineapple fermented distilled also testimony teuchitlan culture shaped tequila ad notably creation terrace agriculture housing temple ceremonial mound ball court,2
13,Agra Fort,"Near the gardens of the Taj Mahal stands the important 16th-century Mughal monument known as the Red Fort of Agra. This powerful fortress of red sandstone encompasses, within its 2.5-km-long enclosure walls, the imperial city of the Mughal rulers. It comprises many fairy-tale palaces, such as the Jahangir Palace and the Khas Mahal, built by Shah Jahan; audience halls, such as the Diwan-i-Khas; and two very beautiful mosques. ",near garden taj mahal stand important mughal monument known red fort agra powerful fortress red sandstone encompasses within enclosure wall imperial mughal ruler comprises many palace jahangir palace khas mahal shah jahan audience hall two beautiful mosque,2
14,Agricultural Landscape of Southern Öland,"The southern part of the island of Öland in the Baltic Sea is dominated by a vast limestone plateau. Human beings have lived here for some five thousand years and adapted their way of life to the physical constraints of the island. As a consequence, the landscape is unique, with abundant evidence of continuous human settlement from prehistoric times to the present day. ",southern part island öland baltic sea dominated vast limestone plateau human lived five thousand adapted way life physical constraint island consequence landscape unique abundant evidence continuous human settlement prehistoric time present day,1
15,Air and Ténéré Natural Reserves,"This is the largest protected area in Africa, covering some 7.7 million ha, though the area considered a protected sanctuary constitutes only one-sixth of the total area. It includes the volcanic rock mass of the Aïr, a small Sahelian pocket, isolated as regards its climate and flora and fauna, and situated in the Saharan desert of Ténéré. The reserves boast an outstanding variety of landscapes, plant species and wild animals. ",largest protected africa covering million ha though considered protected sanctuary constitutes total includes volcanic rock mass aïr small sahelian pocket isolated regard climate flora fauna situated saharan desert ténéré reserve boast variety landscape plant specie wild animal,1
16,Ajanta Caves,"The first Buddhist cave monuments at Ajanta date from the 2nd and 1st centuries B.C. During the Gupta period (5th and 6th centuries A.D.), many more richly decorated caves were added to the original group. The paintings and sculptures of Ajanta, considered masterpieces of Buddhist religious art, have had a considerable artistic influence. ",first buddhist cave monument ajanta date gupta many richly decorated cave added original group painting sculpture ajanta considered masterpiece buddhist religious art considerable artistic influence,2
17,Aksum,"The ruins of the ancient city of Aksum are found close to Ethiopia's northern border. They mark the location of the heart of ancient Ethiopia, when the Kingdom of Aksum was the most powerful state between the Eastern Roman Empire and Persia. The massive ruins, dating from between the 1st and the 13th century A.D., include monolithic obelisks, giant stelae, royal tombs and the ruins of ancient castles. Long after its political decline in the 10th century, Ethiopian emperors continued to be crowned in Aksum. ",ruin ancient aksum found close ethiopia northern border mark location heart ancient ethiopia kingdom aksum powerful state eastern roman empire persia massive ruin dating include monolithic obelisk giant stele royal tomb ruin ancient castle long political decline ethiopian emperor continued crowned aksum,2
18,Al Qal'a of Beni Hammad,"In a mountainous site of extraordinary beauty, the ruins of the first capital of the Hammadid emirs, founded in 1007 and demolished in 1152, provide an authentic picture of a fortified Muslim city. The mosque, whose prayer room has 13 aisles with eight bays, is one of the largest in Algeria. ",mountainous extraordinary beauty ruin first capital hammadid emir founded demolished provide authentic picture fortified muslim mosque whose prayer room aisle eight bay one largest algeria,2
19,Al Zubarah Archaeological Site,"The walled coastal town of Al Zubarah in the Persian Gulf flourished as a pearling and trading centre in the late 18th century and early 19th centuries, before it was destroyed in 1811 and abandoned in the early 1900s. Founded by merchants from Kuwait, Al Zubarah had trading links across the Indian Ocean, Arabia and Western Asia. A layer of sand blown from the desert has protected the remains of the site's palaces, mosques, streets, courtyard houses, and fishermen's huts; its harbour and double defensive walls, a canal, walls, and cemeteries. Excavation has only taken place over a small part of the site, which offers an outstanding testimony to an urban trading and pearl-diving tradition which sustained the region's major coastal towns and led to the development of small independent states that flourished outside the control of the Ottoman, European, and Persian empires and eventually led to the emergence of modern day Gulf States. ",walled coastal town al zubarah persian gulf flourished pearling trading centre late destroyed abandoned founded merchant kuwait al zubarah trading link across indian ocean arabia western asia layer sand blown desert protected remains palace mosque street courtyard house fisherman hut harbour double defensive wall canal wall cemetery excavation taken small part offer testimony urban trading tradition sustained major coastal town led development small independent state flourished outside control ottoman european persian empire eventually led emergence day gulf state,2
20,"Al-Ahsa Oasis, an Evolving Cultural Landscape","In the eastern Arabian Peninsula, the Al-Ahsa Oasis is a serial property comprising gardens, canals, springs, wells and a drainage lake, as well as historical buildings, urban fabric and archaeological sites. They represent traces of continued human settlement in the Gulf region from the Neolithic to the present, as can be seen from remaining historic fortresses, mosques, wells, canals and other water management systems. With its 2.5 million date palms, it is the largest oasis in the world. Al-Ahsa is also a unique geocultural landscape and an exceptional example of human interaction with the environment. ",eastern arabian peninsula oasis serial comprising garden canal spring well drainage lake well historical urban fabric archaeological represent trace continued human settlement gulf neolithic present seen remaining fortress mosque well canal water management system million date palm largest oasis also unique geocultural landscape exceptional human interaction environment,2
21,Aldabra Atoll,"The atoll is comprised of four large coral islands which enclose a shallow lagoon; the group of islands is itself surrounded by a coral reef. Due to difficulties of access and the atoll's isolation, Aldabra has been protected from human influence and thus retains some 152,000 giant tortoises, the world's largest population of this reptile. ",atoll comprised four large coral island enclose shallow lagoon group island surrounded coral reef due difficulty access atoll isolation aldabra protected human influence thus retains giant tortoise largest population reptile,1
22,Alejandro de Humboldt National Park,Complex geology and varied topography have given rise to a diversity of ecosystems and species unmatched in the insular Caribbean and created one of the most biologically diverse tropical island sites on earth. Many of the underlying rocks are toxic to plants so species have had to adapt to survive in these hostile conditions. This unique process of evolution has resulted in the development of many new species and the park is one of the most important sites in the Western Hemisphere for the conservation of endemic flora. Endemism of vertebrates and invertebrates is also very high. ,complex geology varied topography given rise diversity ecosystem specie unmatched insular caribbean created one biologically diverse tropical island earth many underlying rock toxic plant specie adapt survive hostile condition unique process evolution resulted development many new specie park one important western hemisphere conservation endemic flora endemism vertebrate invertebrate also high,1
23,"Alhambra, Generalife and Albayzín, Granada","Rising above the modern lower town, the Alhambra and the Albaycín, situated on two adjacent hills, form the medieval part of Granada. To the east of the Alhambra fortress and residence are the magnificent gardens of the Generalife, the former rural residence of the emirs who ruled this part of Spain in the 13th and 14th centuries. The residential district of the Albaycín is a rich repository of Moorish vernacular architecture, into which the traditional Andalusian architecture blends harmoniously. ",rising lower town alhambra albaycín situated two adjacent hill form medieval part granada east alhambra fortress residence magnificent garden generalife former rural residence emir ruled part spain residential district albaycín rich repository moorish vernacular architecture traditional andalusian architecture blend harmoniously,0
24,Alto Douro Wine Region,"Wine has been produced by traditional landholders in the Alto Douro region for some 2,000 years. Since the 18th century, its main product, port wine, has been world famous for its quality. This long tradition of viticulture has produced a cultural landscape of outstanding beauty that reflects its technological, social and economic evolution. ",wine produced traditional landholder alto douro since main product port wine famous quality long tradition viticulture produced landscape beauty reflects technological social economic evolution,0
25,"Amami-Oshima Island, Tokunoshima Island, Northern part of Okinawa Island, and Iriomote Island","Encompassing 42,698 hectares of subtropical rainforests on four islands on a chain located in the southwest of Japan, the serial site forms an arc on the boundary of the East China Sea and Philippine Sea whose highest point, Mount Yuwandake on Amami-Oshima Island, rises 694 metres above sea level. Entirely uninhabited by humans, the site has high biodiversity value with a very high percentage of endemic species, many of them globally threatened. The site is home to endemic plants, mammals, birds, reptiles, amphibians, inland water fish and decapod crustaceans, including, for example, the endangered Amami Rabbit (Pentalagus furnessi) and the endangered Ryukyu Long-haired Rat (Diplothrix legata) that represent ancient lineages and have no living relatives anywhere in the world. Five mammal species, three bird species, and three amphibian species in the property have been identified globally as Evolutionarily Distinct and Globally Endangered (EDGE) species. There are also a number of different endemic species confined to each respective island that are not found elsewhere in the property.  ",encompassing hectare subtropical rainforest four island chain located southwest japan serial form arc boundary east china sea philippine sea whose highest point mount yuwandake island rise metre sea level entirely uninhabited human high biodiversity value high percentage endemic specie many globally threatened home endemic plant mammal bird reptile amphibian inland water fish decapod crustacean including endangered amami rabbit pentalagus furnessi endangered ryukyu rat diplothrix legata represent ancient lineage living relative anywhere five mammal specie three bird specie three amphibian specie identified globally evolutionarily distinct globally endangered edge specie also number different endemic specie confined respective island found elsewhere,1
26,Amiens Cathedral,"Amiens Cathedral, in the heart of Picardy, is one of the largest 'classic' Gothic churches of the 13th century. It is notable for the coherence of its plan, the beauty of its three-tier interior elevation and the particularly fine display of sculptures on the principal facade and in the south transept. ",amiens cathedral heart picardy one largest gothic church notable coherence plan beauty interior elevation particularly fine display sculpture principal facade south transept,0
27,Amphitheatre of El Jem,"The impressive ruins of the largest colosseum in North Africa, a huge amphitheatre which could hold up to 35,000 spectators, are found in the small village of El Jem. This 3rd-century monument illustrates the grandeur and extent of Imperial Rome. ",impressive ruin largest colosseum north africa huge amphitheatre could hold spectator found small village el jem monument illustrates grandeur extent imperial rome,2
28,"Ancient Ksour of Ouadane, Chinguetti, Tichitt and Oualata","Founded in the 11th and 12th centuries to serve the caravans crossing the Sahara, these trading and religious centres became focal points of Islamic culture. They have managed to preserve an urban fabric that evolved between the 12th and 16th centuries. Typically, houses with patios crowd along narrow streets around a mosque with a square minaret. They illustrate a traditional way of life centred on the nomadic culture of the people of the western Sahara. ",founded serve caravan crossing sahara trading religious centre became focal point islamic culture managed preserve urban fabric evolved typically house patio crowd along narrow street around mosque square minaret illustrate traditional way life centred nomadic culture people western sahara,2
29,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,"This transnational property includes 93 component parts in 18 countries. Since the end of the last Ice Age, European Beech spread from a few isolated refuge areas in the Alps, Carpathians, Dinarides, Mediterranean and Pyrenees over a short period of a few thousand years in a process that is still ongoing. The successful expansion across a whole continent is related to the tree's adaptability and tolerance of different climatic, geographical and physical conditions. ",transnational includes component part country since end last ice european beech spread isolated refuge alp carpathians dinarides mediterranean pyrenees short thousand process still ongoing successful expansion across whole continent related tree adaptability tolerance different climatic geographical physical condition,1
30,Ancient Building Complex in the Wudang Mountains,"The palaces and temples which form the nucleus of this group of secular and religious buildings exemplify the architectural and artistic achievements of China's Yuan, Ming and Qing dynasties. Situated in the scenic valleys and on the slopes of the Wudang mountains in Hubei Province, the site, which was built as an organized complex during the Ming dynasty (14th–17th centuries), contains Taoist buildings from as early as the 7th century. It represents the highest standards of Chinese art and architecture over a period of nearly 1,000 years. ",palace temple form nucleus group secular religious exemplify architectural artistic achievement china yuan ming qing dynasty situated scenic valley slope wudang mountain hubei province organized complex ming dynasty contains taoist represents highest standard chinese art architecture nearly,2
31,Ancient City of Aleppo,"Located at the crossroads of several trade routes from the 2nd millennium B.C., Aleppo was ruled successively by the Hittites, Assyrians, Arabs, Mongols, Mamelukes and Ottomans. The 13th-century citadel, 12th-century Great Mosque and various 17th-century madrasas, palaces, caravanserais and hammams all form part of the city's cohesive, unique urban fabric, now threatened by overpopulation. ",located crossroad several trade route millennium aleppo ruled successively hittite assyrian arab mongol mamelukes ottoman citadel great mosque various madrasa palace caravanserai hammams form part cohesive unique urban fabric threatened overpopulation,2
32,Ancient City of Bosra,"Bosra, once the capital of the Roman province of Arabia, was an important stopover on the ancient caravan route to Mecca. A magnificent 2nd-century Roman theatre, early Christian ruins and several mosques are found within its great walls. ",bosra capital roman province arabia important stopover ancient caravan route mecca magnificent roman theatre christian ruin several mosque found within great wall,2
33,Ancient City of Damascus,"Founded in the 3rd millennium B.C., Damascus is one of the oldest cities in the Middle East. In the Middle Ages, it was the centre of a flourishing craft industry, specializing in swords and lace. The city has some 125 monuments from different periods of its history – one of the most spectacular is the 8th-century Great Mosque of the Umayyads, built on the site of an Assyrian sanctuary. ",founded millennium damascus one oldest middle east middle centre flourishing craft industry specializing sword lace monument different history one spectacular great mosque umayyad assyrian sanctuary,2
34,Ancient City of Nessebar,"Situated on a rocky peninsula on the Black Sea, the more than 3,000-year-old site of Nessebar was originally a Thracian settlement (Menebria). At the beginning of the 6th century BC, the city became a Greek colony. The city's remains, which date mostly from the Hellenistic period, include the acropolis, a temple of Apollo, an agora and a wall from the Thracian fortifications. Among other monuments, the Stara Mitropolia Basilica and the fortress date from the Middle Ages, when this was one of the most important Byzantine towns on the west coast of the Black Sea. Wooden houses built in the 19th century are typical of the Black Sea architecture of the period. ",situated rocky peninsula black sea nessebar originally thracian settlement menebria beginning bc became greek colony remains date mostly hellenistic include acropolis temple apollo agora wall thracian fortification among monument stara mitropolia basilica fortress date middle one important byzantine town west coast black sea wooden house typical black sea architecture,0
35,Ancient City of Ping Yao,"Ping Yao is an exceptionally well-preserved example of a traditional Han Chinese city, founded in the 14th century. Its urban fabric shows the evolution of architectural styles and town planning in Imperial China over five centuries. Of special interest are the imposing buildings associated with banking, for which Ping Yao was the major centre for the whole of China in the 19th and early 20th centuries. ",ping yao exceptionally traditional han chinese founded urban fabric show evolution architectural style town planning imperial china five special interest imposing associated banking ping yao major centre whole china,2
36,Ancient City of Polonnaruwa,"Polonnaruwa was the second capital of Sri Lanka after the destruction of Anuradhapura in 993. It comprises, besides the Brahmanic monuments built by the Cholas, the monumental ruins of the fabulous garden-city created by Parakramabahu I in the 12th century. ",polonnaruwa second capital sri lanka destruction anuradhapura comprises besides brahmanic monument cholas monumental ruin fabulous created parakramabahu,2
37,Ancient City of Qalhat,"The property, which is located on the east coast of the Sultanate of Oman, includes the ancient city of Qalhat, surrounded by inner and outer walls, as well as areas beyond the ramparts where necropolises are located. The city developed as a major port on the east coast of Arabia between the 11th and 15th centuries CE, during the reign of the Hormuz princes. The Ancient City bears unique archaeological testimony to the trade links between the east coast of Arabia, East Africa, India, China and South-East Asia. ",located east coast sultanate oman includes ancient qalhat surrounded inner outer wall well beyond rampart necropolis located developed major port east coast arabia ce reign hormuz prince ancient bear unique archaeological testimony trade link east coast arabia east africa india china asia,2
38,Ancient City of Sigiriya,"The ruins of the capital built by the parricidal King Kassapa I (477–95) lie on the steep slopes and at the summit of a granite peak standing some 180m high (the 'Lion's Rock', which dominates the jungle from all sides). A series of galleries and staircases emerging from the mouth of a gigantic lion constructed of bricks and plaster provide access to the site. ",ruin capital parricidal king kassapa lie steep slope summit granite peak standing high rock dominates jungle side series gallery staircase emerging mouth gigantic lion constructed brick plaster provide access,2
39,Ancient City of Tauric Chersonese and its Chora,"The site features the remains of a city founded by Dorian Greeks in the 5th century BC on the northern shores of the Black Sea. It encompasses six component sites with urban remains and agricultural lands divided into several hundreds of chora, rectangular plots of equal size. The plots supported vineyards whose production was exported by the city which thrived until the 15th century. The site features several public building complexes and residential neighbourhoods, as well as early Christian monuments alongside remains from Stone and Bronze Age settlements; Roman and medieval tower fortifications and water supply systems; and exceptionally well-preserved examples of vineyard planting and dividing walls. In the 3rd century AD, the site was known as the most productive wine centre of the Black Sea and remained a hub of exchange between the Greek, Roman and Byzantine Empires and populations north of the Black Sea. It is an outstanding example of democratic land organization linked to an ancient polis, reflecting the city's social organization. ",feature remains founded dorian greek bc northern shore black sea encompasses six component urban remains agricultural land divided several hundred chora rectangular plot equal size plot supported vineyard whose production exported thrived feature several public complex residential neighbourhood well christian monument alongside remains stone bronze settlement roman medieval tower fortification water supply system exceptionally vineyard planting dividing wall ad known productive wine centre black sea remained hub exchange greek roman byzantine empire population north black sea democratic land organization linked ancient polis reflecting social organization,0
40,Ancient Ferrous Metallurgy Sites of Burkina Faso,"This property is composed of five elements located in different provinces of the country. It includes about fifteen standing, natural-draught furnaces, several other furnace structures, mines and traces of dwellings. Douroula, which dates back to the 8th century BCE, is the oldest evidence of the development of iron production found in Burkina Faso. The other components of the property – Tiwêga, Yamané, Kindibo and Békuy – illustrate the intensification of iron production during the second millennium CE. Even though iron ore reduction –obtaining iron from ore – is no longer practiced today, village blacksmiths still play a major role in supplying tools, while taking part in various rituals. ",composed five element located different province country includes fifteen standing furnace several furnace structure mine trace dwelling douroula date back bce oldest evidence development iron production found burkina faso component tiwêga yamané kindibo békuy illustrate intensification iron production second millennium ce even though iron ore reduction iron ore longer practiced today village blacksmith still play major role supplying tool taking part various ritual,2
41,Ancient Jericho/Tell es-Sultan,"Ancient Jerico/Tell es-Sultan is located northwest of present-day Jericho in the Jordan Valley in Palestine, the property is an oval-shaped Tell, or mound, that contains the prehistorical deposits of human activity, and includes the adjacent perennial spring of ‘Ain es-Sultan. By the 9th to 8th millennium BC, Neolithic Ancient Jericho/Tell es-Sultan was already a sizeable permanent settlement, as expressed by surviving monumental architectural attributes such as a wall with a ditch and a tower. It reflects the developments of the period, which include the shifting of humanity to a sedentary communal lifestyle and the related transition to new subsistence economies, as well as changes in social organisation and the development of religious practices, testified by skulls and statues found. The Early Bronze Age archaeological material on the site provides insights into urban planning, while vestiges from the Middle Bronze Age reveal the presence of a large Canaanite city-state, equipped with an urban centre and technologically innovative rampart fortifications, occupied by a socially complex population. ",ancient located northwest jericho jordan valley palestine tell mound contains prehistorical deposit human activity includes adjacent perennial spring millennium bc neolithic ancient already sizeable permanent settlement expressed surviving monumental architectural attribute wall ditch tower reflects development include shifting humanity sedentary communal lifestyle related transition new subsistence economy well change social organisation development religious practice testified skull statue found bronze archaeological material provides insight urban planning vestige middle bronze reveal presence large canaanite equipped urban centre technologically innovative rampart fortification occupied socially complex population,2
42,"Ancient Maya City and Protected Tropical Forests of Calakmul, Campeche","The site is located in the central/southern portion of the Yucatán Peninsula, in southern Mexico and includes the remains of the important Maya city Calakmul, set deep in the tropical forest of the Tierras Bajas. The city played a key role in the history of this region for more than twelve centuries and is characterized by well-preserved structures providing a vivid picture of life in an ancient Maya capital. The property also falls within the Mesoamerica biodiversity hotspot, the third largest in the world, encompassing all subtropical and tropical ecosystems from central Mexico to the Panama Canal. ",located portion yucatán peninsula southern mexico includes remains important maya calakmul set deep tropical forest tierras bajas played key role history twelve characterized structure providing vivid picture life ancient maya capital also fall within mesoamerica biodiversity hotspot third largest encompassing subtropical tropical ecosystem central mexico panama canal,1
43,Ancient Thebes with its Necropolis,"Thebes, the city of the god Amon, was the capital of Egypt during the period of the Middle and New Kingdoms. With the temples and palaces at Karnak and Luxor, and the necropolises of the Valley of the Kings and the Valley of the Queens, Thebes is a striking testimony to Egyptian civilization at its height. ",thebe god amon capital egypt middle new kingdom temple palace karnak luxor necropolis valley king valley queen thebe striking testimony egyptian civilization height,2
44,Ancient Villages in Southern Anhui – Xidi and Hongcun,"The two traditional villages of Xidi and Hongcun preserve to a remarkable extent the appearance of non-urban settlements of a type that largely disappeared or was transformed during the last century. Their street plan, their architecture and decoration, and the integration of houses with comprehensive water systems are unique surviving examples. ",two traditional village xidi hongcun preserve remarkable extent appearance settlement type largely disappeared transformed last street plan architecture decoration integration house comprehensive water system unique surviving,0
45,Ancient Villages of Northern Syria,"Some 40 villages grouped in eight parks situated in north-western Syria provide remarkable testimony to rural life in late Antiquity and during the Byzantine period. Abandoned in the 8th to 10th centuries, the villages, which date from the 1st to 7th centuries, feature a remarkably well preserved landscape and the architectural remains of dwellings, pagan temples, churches, cisterns, bathhouses etc. The relict cultural landscape of the villages also constitutes an important illustration of the transition from the ancient pagan world of the Roman Empire to Byzantine Christianity. Vestiges illustrating hydraulic techniques, protective walls and Roman agricultural plot plans furthermore offer testimony to the inhabitants' mastery of agricultural production. ",village grouped eight park situated syria provide remarkable testimony rural life late antiquity byzantine abandoned village date feature remarkably well preserved landscape architectural remains dwelling pagan temple church cistern bathhouse etc relict landscape village also constitutes important illustration transition ancient pagan roman empire byzantine christianity vestige illustrating hydraulic technique protective wall roman agricultural plot plan furthermore offer testimony inhabitant mastery agricultural production,2
